Modulbezeichnung:,engl. Modulbezeichnung:,Anbietende Fakultät:,Hinweise:,ggf. Modulniveau:,Kürzel:,ggf. Untertitel:,ggf. Lehrveranstaltungen:,Studiensemester:,Semesterlage:,Modulverantwortliche(r):,Dozent(in):,Sprache:,Zuordnung zum Curriculum:,Lehrform / SWS:,Arbeitsaufwand:,Kreditpunkte:,Voraussetzungen nach Prüfungsordnung:,Empfohlene Voraussetzungen:,Angestrebte Lernergebnisse:,Inhalt:,Studien-/ Prüfungsleistungen:,Medienformen:,Literatur:
Allgemeine Psychologie I,General Psychology I,FNW,,,,,,B.Sc. ab 1. Semester,Sommersemester,Prof. Dr. Stefan Pollmann,Prof. Dr. Stefan Pollmann,deutsch,FIN: B.Sc. CV - Allgemeine Visualistik - Psychologie FIN: B.Sc. INF - Studienprofil - Lernende Systeme / Biocomputing,Vorlesung,"Präsenzzeiten: 2 SWS (28 Std.), Lernzeiten: 92 Std. Gesamt: 120 Std. je 2CP pro Vorlesung (auch einzeln abrechenbar)",4,,,"Die Studierenden lernen allgemeingültige psychologische Zusammenhänge in den Bereichen Wahrnehmung, Handlung, Kognition und Sprache und ihre neurowissenschaftlichen Grundlagen kennen. Die Lehrinhalte sollen ihnen die Kenntnisse und Fähigkeiten vermitteln, um weitergehende psychologische Sachverhalte in den Basis- und Aufbaumodulen zu verstehen. Von diesen Grundlagen ausgehend sollen die Studierenden in der Lage sein, die erworbenen fachspezifischen Kompetenzen auf angewandte Fragestellungen anzuwenden.",Allgemeine Psychologie I/1: Wahrnehmung Handlung Allgemeine Psychologie I/2: Kognition Sprache,Klausuren jeweils am Ende des Semesters.,,
Allgemeine Psychologie II,General Psychology II,FNW,,,,,,B.Sc. ab 1. Semester,Wintersemester,Prof. Dr. Stefan Pollmann,Prof. Dr. Stefan Pollmann,deutsch,FIN: B.Sc. CV - Allgemeine Visualistik - Psychologie FIN: B.Sc. INF - Studienprofil - Lernende Systeme / Biocomputing ggf als Allgemeine Psychologie II/1 und II/2,Vorlesung,"2 Vorlesungen, je einstündig Präsenzzeiten: 2 SWS (28 Std.), Lernzeiten: 92 Std. Gesamt: 120 Std. je 2CP pro Vorlesung (auch einzeln abrechenbar)",4,,Allgemeine Psychologie I,"Die Studierenden lernen allgemeingültige psychologische Zusammenhänge in den Bereichen Lernen, Gedächtnis, Motivation, Emotion und Volition und ihre neurowissenschaftlichen Grundlagen kennen. Die Lehrinhalte sollen ihnen die Kenntnisse und Fähigkeiten vermitteln, um weitergehende psychologische Sachverhalte in den Basis- und Aufbaumodulen zu verstehen. Von diesen Grundlagen ausgehend sollen die Studierenden in der Lage sein, die erworbenen fachspezifischen Kompetenzen auf angewandte Fragestellungen anzuwenden.",Allgemeine Psychologie II/1: Lernen Gedächtnis Allgemeine Psychologie II/2: Motivation Emotion Volition,Klausuren jeweils am Ende des Semesters.,,
Alternative Energien / Regenerative Elektroenergiequellen,Alternative Energien / Regenerative Elektroenergiequellen,FEIT,,,,,,M.Sc. ab 1. Semester,Wintersemester,Prof. Dr.-Ing. habil. Zbigniew Antoni Styczynski (FEIT-IESY),Prof. Dr.-Ing. habil. Zbigniew Antoni Styczynski (FEIT-IESY),deutsch,FIN: M.Sc. DIGIENG - Fachliche Spezialisierung,Vorlesung; Übung,"3 SWS = 150h (42h Präsenzzeit +108h selbständige Arbeit) Präsenzzeiten: wöchentliche Vorlesung 2 SWS, wöchentliche Übungen 1 SWS, Selbständiges Arbeiten: Nachbereitung der Vorlesung, Lösung der Übungsaufgaben und Prüfungsvorbereitung",5,,"Regelungstechnik, Steuerungstechnik, Ereignisdiskrete Systeme","Lernziele und erworbene Kompetenzen: Die Lehrveranstaltung vermittelt Kenntnisse zur Energieerzeugung aus regenerativen Energiequellen. Die Studenten lernen die wichtigsten regenerativen Energiequellen: Solarenergie, Wasserkraft, Windkraft und Biomasse kennen und es werden die  Nutzungsmöglichkeiten der regenerativen verfügbaren Energiepotentiale aufgezeigt. Weiterhin werden Kenntnisse zur Energiespeicherung, zu Brennstoffzellen und zu Problemen der Netzintegration regenerativer Energieanlagen und Energiespeicher vermittelt.","Einführung, Elektrische Energiesysteme, Energiebegriffe Grundlagen des regenerativen Energieangebots, Energiebilanz Photovoltaische Stromerzeugung Stromerzeugung aus Windkraft Stromerzeugung aus Wasserkraft Brennstoffzellen Elektrische Energiespeicher Netzbetrieb lokaler Energieerzeuger",Mündliche Prüfung,,
Anatomie und Physiologie,Anatomy and Physiology,FME,,,,,,B.Sc. ab 3. Semester,Wintersemester,Prof. Dr. Friedemann Awiszus (Lehrimport aus der FME),Prof. Dr. Friedemann Awiszus (Lehrimport aus der FME),deutsch,FIN: B.Sc. CV - Anwendungsfach - Medizintechnik,Vorlesung,2 SWS 150h (28h Präsenzzeit in der Vorlesung 122h selbstständige Arbeit),5,,,"Das Modul ist auf die Erarbeitung naturwissenschaftlicher Grundlagen in den Theoriefeldern Anatomie, Physiologie sowie Sport- und Leistungsmedizin ausgerichtet. Die Studierenden erwerben Grundkenntnisse zur Struktur und Funktion der Organsysteme unter Be-rücksichtigung der Belastung und Beanspruchung bei körperlicher Aktivität. Zur planmäßigen und kontrollierten Gestaltung von Be-wegung, Spiel und Sport in den verschiedenen Handlungsfeldern (Freizeitsport, Leistungssport, Gesundheits- und Rehabilitations-sport und Sport für Menschen mit Behinderungen) wird Basiswissen aus den Bereichen der Biomechanik und funktionellen Anatomie sowie Leistungsphysiologie vermittelt.","Biologische Grundlagen und Grundlagen des Bewegungsapparates Beschreibende und funktionelle Anatomie des passiven und aktiven Bewegungsapparates Anatomie und Physiologie, Funktion und Arbeitsweise der unterschiedlichen Organsysteme (Herz-Kreislauf- und Atmungssystem-, Blut- und Immunsystem, Endokrines System, Nervensystem, Harnwege, Verdauungssystem, Sinnesorgane) Grundlagen des Energiestoffwechsel Neurophysiologische Grundlagen der Motorik",Klausur (90 Minuten),,
Angewandte Bildverarbeitung,Angewandte Bildverarbeitung,FEIT,,,ABV,,,B.Sc. ab 4. Semester,Wintersemester,"Professur für Neuro-Informationstechnik, Professur für Technische Informatik",apl. Prof. Dr.-Ing. habil. Ayoub Al-Hamadi,deutsch,FIN: B.Sc. CV - Anwendungsfach - Bildinformationstechnik,Praktikum; Seminar,Präsenzzeiten: Sommersemester: 2 SWS Seminar Wintersemester: 1 SWS Seminar + 1 SWS Softwareprojekt Selbstständiges Arbeiten: Projektarbeit (Vortragsvorbereitung + Softwarevorbereitung),7 Credit Points = 210h (56h Präsenzzeit + 154h selbstständige Arbeit) Notenskala gemäß Prüfungsordnung,,"Grundlagen der Bildverarbeitung (FIN), Signalorientierte Bildverarbeitung (FEIT)",Lernziele & zu erwerbende Kompetenzen: Die Studierenden sollen ihr Wissen auf dem Gebiet der Angewandten Bildverarbeitung mittels vorgegebener oder evtl. auch selbst gewählter Spezialthemen vertiefen und praktisch anwenden,"In der Lehrveranstaltung werden spezielle Themen beispielsweise aus der aktuellen Forschung auf dem Gebiet der Bildverarbeitung behandelt. Dabei handelt es sich u. a. um die Schwerpunkte Bildkorrektur, 3D- Vermessung, Bildsequenzverarbeitung, Gesichtsanalyse, Informationsfusion, neuronale Netze, biologische und medizinische Anwendungen. Im ersten Teil erfolgt dabei innerhalb von Gruppen die Vobereitung eines Vortrags über ein spezielles Thema, welcher anschließend vor den Seminarteilnehmern gehalten wird. Im zweiten Teil erfolgt eine praktische softwaremäßige Umsetzung spezieller Probleme der Bildverarbeitung. Dies dient auch der Vertiefung der Programmierkenntnisse.",mündliche Prüfung: kumulativ: Vorträge & 1 Softwarelösung,,siehe Script
Anwendungssysteme,Business Application Systems,FIN,,,AWS,,,B.Sc. ab 1. Semester; B.Sc. ab 2. Semester,Sommersemester,Professur für Angewandte Informatik / Wirtschaftsinformatik I,Prof. Dr. Klaus Turowski,deutsch,FIN: B.Sc. CV - WPF Informatik FIN: B.Sc. INF - WPF Informatik FIN: B.Sc. INF - Studienprofil - Lernende Systeme / Biocomputing FIN: B.Sc. INGINF - WPF Informatik FIN: B.Sc. WIF - Anwenden,Vorlesung; Übung,Präsenzzeiten: 28h Vorlesung 28h Übung Selbstständiges Arbeiten: Vor- und Nachbereitung der Vorlesung Bearbeitung von Fallstudien für die Übung Vorlesung 2 SWS = 28h Präsenzzeit + 62h selbstständige Arbeit Übung 2 SWS = 28h Präsenzzeit + 32h selbsständige Arbeit -> 150 h,5,,,Schaffung eines Grundverständnisses für Funktionen und Zusammenhänge in betrieblichen Anwendungssystemen entlang der Wertschöpfungskette Praktische Erfahrungen mit prozessorientierter Informationsverarbeitung an einem konkreten ERP-System,Grundlagen der Wertschöpfungskette nach Porter Prozesse der betrieblichen InformationsverarbeitungForschung und EntwicklungVertriebEinkaufProduktionLogistikFallstudien zu komplexen Geschäftsprozessen mit SAP R/3 Enterprise,"F   allstudienbearbeitung in der Übung Schriftliche Prüfung, 120 Min. Schein Vorleistungen entsprechend Angabe zum Semesterbeginn",,"Mertens, P. (2005): Integrierte Informationsverarbeitung 1. 15. Auflage, Berlin u. a."
Applied Deep Learning,Applied Deep Learning,FIN,,,ADL,,,M.Sc. ab 1. Semester,Wintersemester,Prof. Sebastian Stober,Prof. Sebastian Stober,englisch,FIN: M.Sc. CV - Bereich Informatik FIN: M.Sc. DIGIENG - Methoden der Informatik FIN: M.Sc. DIGIENG - Fachliche Spezialisierung FIN: M.Sc. DKE - Applied Data Science FIN: M.Sc. DKE (alt) - Bereich Methods I FIN: M.Sc. INF - Bereich Informatik FIN: M.Sc. INGINF - Bereich Informatik FIN: M.Sc. VC - Computer Science FIN: M.Sc. WIF - Bereich Informatik,Vorlesung; Übung; Projekt,180h (40h contact hours + 140h self-study and practical application in project); contact hours: block lecture (1 week); self-study comprises additional reading; follow-up  project in an application domain including a written report as well as  kick-off and final presentation in a colloquium.,6 CP,,• linear algebra and probability theory • machine learning (e.g. “Intelligente Systeme” or “Machine Learning”),• confidently apply DL techniques to develop a solution for a given problem • follow recent DL publications and critically assess their contributions • formulate hypotheses and design & conduct DL experiments to validate them • document progress & design decisions for reproducibility and transparency,"• artificial neural network fundamentals (gradient descent & backpropagation, activation functions) • network architectures (Convolutional Neural Networks, Recurrent/Recursive Neural Networks, Auto-Encoders) • regularization techniques • introspection & analysis techniques • optimization techniques • advanced training strategies (e.g. teacher-student)",project report + kick-off and final presentations Schein: same (need to pass),,"Ian Goodfellow, Yoshua Bengio & Aaron Courville: “Deep Learning”, MIT Press, 2016."
Applied Discrete Modelling,Applied Discrete Modelling,FIN,,,ADM,,,M.Sc. ab 1. Semester,Wintersemester,Professur für Simulation,Claudia Krull,englisch,FIN: M.Sc. CV - Bereich Informatik FIN: M.Sc. DIGIENG - Fachliche Spezialisierung FIN: M.Sc. DKE - Learning Methods & Models for Data Science FIN: M.Sc. DKE (alt) - Bereich Fundamentals FIN: M.Sc. DKE (alt) - Bereich Models FIN: M.Sc. DKE (alt) - Bereich Applications FIN: M.Sc. INF - Bereich Informatik FIN: M.Sc. INGINF - Bereich Informatik FIN: M.Sc. VC - Computer Science FIN: M.Sc. WIF - Bereich Informatik,Vorlesung; Übung; Projekt,180 Stunden (56 h Präsenzzeit + 124 h selbständiges Arbeiten),6,,M     athematik für Ingenieure Programmierkenntnisse,"Die Teilnehmer kennen Markov-Ketten sowie ausgewählte Anwendungen und Lösungsverfahren Die Teilnehmer kennen nicht-Markovsche stochastische Prozesse und können diese auf unterschiedliche Weise modellieren und simulieren Die Teilnehmer kennen verborgene Markovsche und nicht-Markovsche Prozesse Die Teilnehmer kennen ausgewählte Forschungsthemen des Lehrstuhls Die Teilnehmer können die erlernten Modelle und Verfahren implementieren und auf Problemen aus den Forschungsschwerpunkten der Universität anwenden, insbesondere aus der Medizin und dem Ingenieurwesen",Zeitdiskrete und zeitkontinuierliche Markov-Ketten Anwendungen und Programmierung von Berechnungsverfahren für Markov-Ketten Methode der zusätzlichen Variablen Proxel-Simulation und Phasenverteilungen Modellierung mit verborgenen Modellen Programmieren von Lösungsverfahren für verschiedene Modellklassen Modellierung und Lösung von Fragestellungen aus der Medizin und dem Ingenieurwesen,P   rüfungsvorleistung Benotet: Mündliche Prüfung,,Siehe www.sim.ovgu.de
Argumentationstheorie in der Künstlichen Intelligenz,Argumentation Theory in Artificial Intelligence,FIN,,,ArgTheo,,,M.Sc. ab 1. Semester,,Professur für Theoretische Informatik,Dr. Fabian Neuhaus,deutsch,FIN: M.Sc. CV - Bereich Informatik FIN: M.Sc. DIGIENG - Methoden der Informatik FIN: M.Sc. DKE - Learning Methods & Models for Data Science FIN: M.Sc. DKE (alt) - Bereich Models FIN: M.Sc. INF - Bereich Informatik FIN: M.Sc. INGINF - Bereich Informatik FIN: M.Sc. WIF - Bereich Informatik,Seminar,"Präsenzzeiten: wöchentliche Vorlesungen/Seminare pro Semester: 4 SWS (2SWS pro Studienjahr) Selbstständiges Arbeiten: Lesen von wissenschaftlichen Texten, Vorbereitung von Präsentationen, Vorbereitung der Hausarbeit 180h = 4SWS = 56h Präsenzzeit + 124h selbständige Arbeit, Notenskala gemäß Prüfungsordnung",6,,Vorkenntnisse in Logik (z.B. Prädikatenlogik erster Stufe),"Lernziele & erworbene Kompetenzen: Einarbeitung in einem anspruchsvollen wissenschaftli-chen Gebiet Erwerb relevanter Literatur zum Thema, Gegenüberste-lung von Literaturinhalten anhand von eigens abgeleiteten Vergleichskriterien Zusammenfassung und kritische Würdigung von Literatur zum vorgegebenen Thema, sowohl in mündlicher als auch in schriftlicher Form","Argumentationstheorie ist ein interdisziplinäres Fachgebiet mit dem Ziel der Repräsentation, Analyse und Evaluation von Argu-mentationen. Dabei betrachtet die Argumentationstheorie viele Aspekte von Argumentationen, von denen in deduktiver symboli-scher Logik (z.B. Prädikatenlogik erster Stufe) typischerweise abs-trahiert wird: Viele Behauptungen lassen sich nicht beweisen, sondern es gibt Argumente dafür und dagegen (Pro und Contra). Argumentationen können ein, zwei oder mehr Agenten involvieren, die unterschiedlich kompetent oder vertrauenswürdig sein können. Diese Agenten können Argumente vorbringen, die sich gegenseitig stützen oder angreifen. Oft werden Argumente nicht-deduktiv gestützt (beispielsweise mit Analogien). Die Schlüssigkeit des Arguments hängt vom Vorwissen und den Interessen des Publikums ab. Wissensrepresentationssprachen, die auf deduktiver, symbolischer Logik aufbauen, sind daher in der Regel nicht geeignet um Argumentationen adäquat in Informationssystemen zu repräsentieren. In der Lehrveranstaltung werden sich die Studenten gemeinsam erarbeiten, wie man Argumente adäquat repräsentiert, analysiert und evaluiert.",P   rüfungsvorleistung: regelmäßige aktive Teilnahme an den Seminaren Prüfung: Hausarbeit,,"I. Rahwan, G. R. Simari (eds): „Argumentation in Artificial Intelligence“, Springer, 2009. P. Besnard , A. Hunter: „Elements of Argumentation“, MIT Press, 2008"
Assistenzrobotik,Assistance robotics,FIN,,,AROB,,,M.Sc. ab 1. Semester,Sommersemester,"Hon.-Prof. Dr. Norbert Elkmann, Fraunhofer IFF","Hon.-Prof. Dr. Norbert Elkmann, Fraunhofer IFF",deutsch,FIN: M.Sc. DIGIENG - Methoden des Digital Engineering FIN: M.Sc. DIGIENG - Methoden der Informatik FIN: M.Sc. DIGIENG - Fachliche Spezialisierung FIN: M.Sc. DKE - Applied Data Science FIN: M.Sc. DKE (alt) - Bereich Applications FIN: M.Sc. INF - Bereich Informatik FIN: M.Sc. INGINF - Bereich Informatik,Vorlesung; Übung,Präsenzzeiten: 14 Vorlesungen im SoSe (wöchentlich) 7 Übungen (14-tägig) Selbständiges Bearbeiten von Übungs-/Programmieraufgaben am Computer 180h = 42h Präsenzzeit + 138h selbstständige Arbeit,6,,- Programmierkenntnisse - Lineare Algebra sowie Erfahrung mit Robot Operating System (ROS) und Simulationsumgebungen,"Lernziele & erworbene Kompetenzen: Grundlagen der Assistenzrobotik (mobile Roboter, Industrieroboter, Sensorik) Modellierung von Roboterkinematiken Voraussetzungen und Lösungsansätze bzgl. der Mensch Roboter-Kollaboration (MRK) und Mensch-Roboter-Interaktion Kenntnisse über die Sicherheitsvorgaben, Anwendung der Sicherheitsaspekte bei der Konzeption von MRK Fähigkeit Softwareframeworks in der Robotik anzuwenden","- Einführung in die Assistenzrobotik -Grundlagen der Assistenzrobotik (Modellierung von Roboterkinematiken, Bahnplanung, Bewegungs- und Kraftregelung, Sensoren, mobile Systeme) -Mensch-Roboter-Kollaboration und Sicherheit: Technologien, Maschinensicherheit, Normen, Rechtslage -KI-Verfahren in der Robotik - Softwareframeworks und Simulation -Semesterbegleitendes Programmierprojekt",Regelmäßige Teilnahme an Vorlesung und Übung Erfolgreiche Bearbeitung der Übungs- und Programmieraufgaben mündliche Prüfung: 20 Minuten,,Wird in der VL bekanntgegeben
Augmented & Virtual Reality,Augmented & Virtual Reality,FIN,,,AVR,,,B.Sc. ab 4. Semester; M.Sc. ab 1. Semester,Sommersemester,Prof. Dr. Christian Hansen,Prof. Dr. Christian Hansen,englisch,FIN: B.Sc. CV - WPF Computervisualistik FIN: B.Sc. INF - WPF Informatik FIN: B.Sc. INGINF - WPF Informatik FIN: B.Sc. WIF - WPF Gestalten & Anwenden FIN: M.Sc. VC - Visual Computing - Pflichtfächer,Vorlesung; Projekt,Lecture + team project (4SWS) for Bachelor students: 150h (56h contact hours + 94h self-study) for Master students: 180h (56h contact ours + 124h self-study),Bachelor: 5 CP Master: 6 CP,n/a,Introduction to Computer Graphics,Following topics in the field of VR/AR are addressed: - Introduction to VR/AR systems - Perceptional aspects - Input devices - Output devices - AR components and types - Interaction techniques - Case studies,"Virtual Reality (VR) and Augmented Reality (AR) systems are a component of modern user interfaces in industry, entertainment and medicine. The design and implementation of such systems is part of many development and research projects. This module covers fundamentals and advanced techniques in the area of VR/AR systems. Students will gain the theoretical foundation needed to design, implement, improve, and evaluate VR/AR systems. In addition, the theoretical foundations can be applied in a team project that accompanies the lecture.","Participation and active involvement in the course and the team project, successful completion of the admission tests and final examination Exam: oral",,
Ausgewählte Algorithmen der Computergraphik,Selected Algorithms in Computer Graphics,FIN,,,AACG,,,B.Sc. ab 4. Semester; M.Sc. ab 1. Semester,Wintersemester,Professur Visual Computing,Dr. Christian Rössl,deutsch,FIN: B.Sc. CV - WPF Computervisualistik FIN: B.Sc. INF - WPF Informatik FIN: B.Sc. INGINF - WPF Informatik FIN: M.Sc. CV - Bereich Computervisualistik FIN: M.Sc. INF - Bereich Informatik FIN: M.Sc. INGINF - Bereich Informatik FIN: M.Sc. VC - Visual Computing - Wahlpflichtfächer FIN: M.Sc. WIF - Bereich Informatik,Vorlesung; Übung,Präsenzzeit: 2 SWS Vorlesung 2 SWS Übung Selbständiges Arbeiten: Bearbeiten von Übungs- und Programmieraufgaben 180 h = 56 h Präsenzzeit + 124 h selbständige Arbeit,6,,,Kenntnis von grundlegenden und fortgeschrittenen Methoden der Geometrieverarbeitung Befähigung zur praktischen Anwendung,"Linear least-squares approximation Data interpolation and approximation Matrix factorization, sparse matrices Regularization General applications and case studies",r   egelmäßige Teilnahme an Vorlesung und Übung Bearbeitung der Übungsaufgaben ist zum Erwerb der Prüfungszulassung notwendig Prüfung: mündlich,,
Ausgewählte Probleme in Human Factors,Selected Chapters in Human Factors,FIN,,,,,,M.Sc. ab 1. Semester,Wintersemester,Dr. Maria Luz / Jun.Prof. Dr. Christian Hansen,Dr. Maria Luz,deutsch,FIN: M.Sc. CV - Schlüssel- und Methodenkompetenzen FIN: M.Sc. INF - Schlüssel- und Methodenkompetenzen FIN: M.Sc. INGINF - Schlüssel- und Methodenkompetenzen FIN: M.Sc. WIF - Schlüssel- und Methodenkompetenzen,Vorlesung; Seminar,Präsenzzeiten: • Wöchentliche Vorlesungen 2 SWS Selbständiges Arbeiten: • Vortrag vorbereiten/halten,3,,,"Sensibilisierung für Probleme bei der Gestaltung von Mensch-Technik-Interaktion, Fertigkeit neue Entwicklungen in der Mensch-Technik-Interaktion aus psychologischer Sicht zu evaluieren, ihre Risiken und Potenziale basierend auf den psychologischen Theorien und Paradigmen einzuschätzen, Überblick über psychologische Forschungsmethoden","Automation, Vertrauen in Automation, Einschränkungen der Aufmerksamkeit, Gestaltung von Alarmen und Warnungen, Roboter, autonomes Fahren, Kompabilität, AR/VR",Prüfungsvorleistung: s. Vorlesung Prüfung: Referat,,
Automated Reasoning,Automated Reasoning,FIN,,,,,,B.Sc. ab 4. Semester,Wintersemester,Lehrstuhl für theoretische Informatik,Dr. Fabian Neuhaus,deutsch,FIN: B.Sc. CV - WPF Informatik FIN: B.Sc. CV - Schlüssel- und Methodenkompetenzen - Wissenschaftliches Seminar FIN: B.Sc. INF - WPF Informatik FIN: B.Sc. INF - Schlüssel- und Methodenkompetenzen - Wissenschaftliches Seminar FIN: B.Sc. INGINF - WPF Informatik FIN: B.Sc. INGINF - Schlüssel- und Methodenkompetenzen - Wissenschaftliches Seminar FIN: B.Sc. WIF - WPF Gestalten & Anwenden FIN: B.Sc. WIF - Schlüssel- und Methodenkompetenzen - Wissenschaftliches Seminar FIN: M.Sc. CV - Bereich Informatik FIN: M.Sc. INF - Bereich Informatik FIN: M.Sc. INGINF - Bereich Informatik FIN: M.Sc. WIF - Bereich Informatik,Seminar,"Präsenszeit: 56 Stunden. Bearbeitung Übungsaufgaben,  Lesen wissenschaftlicher Texte, Nachbereitung der Präsensveranstaltung,  Vorbereitung Prüfung = 94 Stunden.",5 CP,,"Erfolgreicher Abschluss des Moduls ""Logik""","Fähigkeit wissenschaftliche Texte zu verstehen,  komplexe Probleme in logischen Sprachen zu modellieren, Theorembeweiser  zur Lösung von Problemen einzusetzen, Verständnis der Funktion von  Theorembeweisern","Inhalte der Lehrveranstaltung:  In dem Kurs wird  betrachtet, wie man Probleme in einer logischen Sprache modelliert und mit Hilfe eines Automatic Theorem Prover (ATP) löst. Darüber hinaus  werden wir uns die Methoden und Algorithmen erarbeiten, die moderne ATPs  einsetzen (Resolution, Superposition, Axiomselektion). Dies geschieht durch Lesen relevanter Literatur sowie  Aufgaben, in denen die Teilnehmer das Gelernte praktisch umsetzen.","Prüfungsvorleistung: regelmäßige Teilnahme am Seminar, erfolgreiche Bearbeitung der Übungsaufgaben Prüfung: mündlich",,
Automatisierungssysteme,Automatisierungssysteme,FEIT,,,,,,M.Sc. ab 1. Semester,Wintersemester,Prof. Dr.-Ing. Christian Weber (FEIT-IFAT) / Dr.-Ing. Peter Eichelbaum (FEIT-IFAT),Prof. Dr. Christian Diedrich,deutsch,FIN: M.Sc. DIGIENG - Fachliche Spezialisierung,Vorlesung; Übung,"Präsenzzeiten: wöchentliche Vorlesung 2 SWS, wöchentliche Übun-gen 1 SWS, Selbständiges Arbeiten: Nachbereitung der Vorlesung, Lösung der Übungsaufgaben und Prüfungsvorbereitung 3 SWS = 150h (42h Präsenzzeit +108h selbständige Arbeit)",5,,"Bachelor in Elektrotechnik, Mechatronik oder Informatik",Lernziele und zu erwerbende Kompetenzen Modelle und Methoden zur Behandlung von Automatisierungssystemen Interaktions- und Kooperationsstrategien von Automatisierungssystemen Integrationstechnologien Prinzipien prozeduraler und deskriptiver Beschreibungsmethoden für technische Systeme,"In der Automatisierungstechnik kommen moderne Informations- und wissensverarbeitende Systeme zum Einsatz. Die Nähe der Automatisierung zu den dynamischen Prozessen der Maschinen und Produktionsanlagen erfordert für ihre Analyse, Entwurf und Betrieb spezifische Modelle und Methoden, die in diesem Modul vorgestellt werden. Automatisierungssysteme setzen sich aus einer Vielzahl von Komponenten zusammen, die untereinander interagieren müssen. Diese Komponenten müssen deshalb hinsichtlich ihres Informationsaustausches integriert werden. Dazu stehen sowohl Technologien aus dem IT/Internet- als auch aus dem automatisierungstechnischen Umfeld zur Verfügung. Deshalb wird der Zusammenhang zwischen Modell, Beschreibungssprache und Werkzeug grundsätzlich dargelegt und für die Umsetzung von Steuerungs- und Regelungsentwürfen vertieft.",Mündliche Prüfung,,
Automatisierungstechnik,Automatisierungstechnik,FEIT,,,,,,M.Sc. ab 3./ 4. Semester,,"Dr.-Ing. J. Ihlow, FEIT-IFAT","Dr.-Ing. J. Ihlow, FEIT-IFAT",deutsch,FIN: M.Sc. DIGIENG - Fachliche Spezialisierung,Vorlesung; Übung,"Präsenzzeiten: Vorlesung: 2 SWS Übung: 1 SWS (14-tägig) Selbstständiges Arbeiten: Nachbereitung der Vorlesung Vor- und Nachbereitung der Inhalte der Übung, Musterlösungen verfügbar 120 h (42 h Präsenzzeit + 78 h selbstständige Arbeit)",4,,,"Vermittlung grundlegender Methoden der Automatisierung ereignisdiskreter Systeme Befähigung zum Beschreiben, Modellieren und Realisieren steuerungstechnischer Problemstellungen Erwerb von Kenntnissen zur programmtechnischen Umsetzung von Steuerungsfunktionen","Grundlagen der Automatisierung ereignisdiskreter SystemeDiskrete Ereignisse, Signale und Systeme Entwurf und Realisierung kombinatorischer Steuerungen mit Methoden der Booleschen Algebra Automatenmodelle zur Beschreibung und zum Entwurf sequenzieller Steuerungen Petri-Netze als Methode zum Entwurf und zur Analyse von Steuerungen Realisierung mit Speicherprogrammierbaren Steuerungen",T   eilnahme an Vorlesungen und Übungen Klausur (90 min),,laut Vorlesungsskript
Bachelorarbeit,Bachelor Thesis,FIN,,,,,,B.Sc. ab 7. Semester,,Hochschullehrer der FIN,-,deutsch,FIN: B.Sc. CV FIN: B.Sc. INF FIN: B.Sc. INGINF FIN: B.Sc. WIF FIN: B.Sc.,Kolloquim; Bachelorarbeit,10 Wochen bzw. bei Erstellung in einer integrierten Praxiszeit 20 Wochen eigenständige Erstellung einer wiss. Arbeit + Kolloquium,12,"Für den erfolgreichen Abschluss des Moduls ist der Nachweis von 180 CP aus dem Kern-, Pflicht- und Wahlpflichtbereich sowie 18 CP aus Praxiszeit notwendig.",,"Es soll der Nachweis erbracht werden, dass innerhalb einer vorgegebenen Frist ein Problem aus einem Fachgebiet der Informatik unter Anleitung mit wissenschaftlichen Methoden bearbeitet werden kann. Bei erfolgreichem Abschluss des Moduls sind die Studierenden zudem in der Lage, selbst erarbeitete Problemlösungen strukturiert vorzutragen und zu verteidigen.","Das Thema der Bachelorarbeit kann aus aktuellen Forschungsvorhaben der Institute oder aus betrieblichen Problemstellungen mit wissenschaftlichem Charakter abgeleitet werden. Ausgegeben wird die Aufgabenstellung immer von einem Hochschullehrer, der am Studiengang beteiligten Fakultäten. Im Kolloquium haben die Studierenden nachzuweisen, dass sie in der Lage sind, die Arbeitsergebnisse aus der wissenschaftlichen Bearbeitung eines Fachgebietes in einem Fachgespräch zu verteidigen. In dem Kolloquium sollen das Thema der Bachelorarbeit und die damit verbundenen Probleme und Erkenntnisse in einem Vortrag dargestellt und diesbezügliche Fragen beantwortet werden.",bestandenes Kolloquium,,
